Factor prices and wage income;;;;;;;;
;interest;interest;interest;interest;interest;wages;wages;wages
year;NWS;Amsterdam;Groningen;DNB;British;agricultural;industry;household
;;on-call;mortgages;discount;3 % consols;wage;wage;income
;%;%;%;%;%;cts/day;cts/day;fl/year
1813;;;;;;56,8;72,8;323,9
1814;;;;;;55,9;72,8;322,1
1815;6,30;8,55;4,86;3,67;4,48;55,8;72,8;322,8
1816;5,77;7,17;4,75;3,00;5,02;57,2;72,8;326,9
1817;5,74;5,93;4,74;4,29;4,10;60,3;72,8;333,8
1818;5,72;6,31;4,46;4,08;3,87;62,7;72,8;339,0
1819;5,75;5,15;4,57;3,58;4,17;63,1;72,8;339,9
1820;5,56;4,53;4,69;3,00;4,42;55,6;73,1;323,5
1821;5,34;4,84;4,53;3,00;4,07;52,8;72,7;315,8
1822;5,26;4,88;4,55;3,00;3,79;51;72,6;311,3
1823;5,29;4,24;4,74;3,33;3,80;49,8;72,6;308,3
1824;4,40;4,61;4,76;3,17;3,30;48,8;72,7;306,4
1825;4,26;4,70;4,79;3,33;3,54;49,8;73,1;309,6
1826;4,83;5,00;4,77;4,04;3,79;50,3;73,3;311,8
1827;4,74;3,95;4,65;3,50;3,61;51,1;73,4;314,1
1828;4,58;2,90;4,62;1,75;3,54;51,2;73,4;315,3
1829;4,27;3,02;4,69;2,29;3,34;50,8;73,5;314,8
1830;4,75;4,48;4,61;3,25;3,49;51,4;73,6;316,8
1831;6,44;5,05;4,70;3,00;3,76;52;73,8;318,4
1832;6,01;3,83;4,80;2,58;3,58;52,2;74,3;320,4
1833;5,25;2,75;4,66;2,00;3,42;52,8;74,5;321,5
1834;4,87;2,73;4,76;2,00;3,32;52,6;74,8;321,8
1835;4,87;3,60;4,66;2,00;3,20;52,6;75,2;322,4
1836;4,55;4,17;4,67;3,42;3,35;53;75,7;324,7
1837;4,72;3,73;4,58;4,25;3,30;54;76,0;327,7
1838;4,63;3,21;4,62;2,50;3,23;54,2;76,3;328,7
1839;4,65;4,56;4,54;4,00;3,28;55,1;76,5;332,0
1840;4,84;3,09;4,49;2,96;3,35;55,8;77,0;335,0
